id,prodid,imageurl
61,61,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755843_437Wx649H_202212190059221.jpeg
62,62,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003949_437Wx649H_20171109134142.jpeg
63,63,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142151_437Wx649H_202211040655311.jpeg
64,64,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003917_437Wx649H_20171109133417.jpeg
65,65,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003845_437Wx649H_20171109132750.jpeg
66,66,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755621_437Wx649H_202212190048331.jpeg
67,67,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522801_437Wx649H_202209180852551.jpeg
68,68,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755827_437Wx649H_202212190058211.jpeg
69,69,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755752_437Wx649H_202212190054351.jpeg
70,70,//img.tatacliq.com/images/i8/437Wx649H/MP000000011745743_437Wx649H_202201121418131.jpeg
71,71,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142675_437Wx649H_202211040719281.jpeg
72,72,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142839_437Wx649H_202211040727301.jpeg
73,73,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142835_437Wx649H_202211040727261.jpeg
74,74,//img.tatacliq.com/images/i5/437Wx649H/MP000000005908905_437Wx649H_20191113205231.jpeg
75,75,//img.tatacliq.com/images/i9/437Wx649H/MP000000016501066_437Wx649H_202302120826281.jpeg
76,76,//img.tatacliq.com/images/i7/437Wx649H/MP000000011360163_437Wx649H_202112051922161.jpeg
77,77,//img.tatacliq.com/images/i8/437Wx649H/MP000000014219440_437Wx649H_202208250548311.jpeg
78,78,//img.tatacliq.com/images/i8/437Wx649H/MP000000014219092_437Wx649H_202208250528341.jpeg
79,79,//img.tatacliq.com/images/i7/437Wx649H/MP000000011504529_437Wx649H_202112181423561.jpeg
80,80,//img.tatacliq.com/images/i7/437Wx649H/MP000000010227961_437Wx649H_202108082000591.jpeg
81,81,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755751_437Wx649H_202212190054381.jpeg
82,82,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522748_437Wx649H_202209180849581.jpeg
83,83,//img.tatacliq.com/images/i9/437Wx649H/MP000000016266767_437Wx649H_202301291619471.jpeg
84,84,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755741_437Wx649H_202212190054361.jpeg
85,85,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142658_437Wx649H_202211040718361.jpeg
86,86,//img.tatacliq.com/images/i7/437Wx649H/MP000000011504575_437Wx649H_202112181426221.jpeg
87,87,//img.tatacliq.com/images/i8/437Wx649H/MP000000011745718_437Wx649H_202201121416081.jpeg
88,88,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755728_437Wx649H_202212190053231.jpeg
89,89,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755620_437Wx649H_202212190048321.jpeg
90,90,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142054_437Wx649H_202211040650351.jpeg
91,91,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003907_437Wx649H_20171109133103.jpeg
92,92,//img.tatacliq.com/images/i10/437Wx649H/MP000000016596729_437Wx649H_202302190351091.jpeg
93,93,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142738_437Wx649H_202211040722361.jpeg
94,94,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142635_437Wx649H_202211040717351.jpeg
95,95,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142629_437Wx649H_202211040717311.jpeg
96,96,//img.tatacliq.com/images/i7/437Wx649H/MP000000010308804_437Wx649H_202108162107251.jpeg
97,97,//img.tatacliq.com/images/i7/437Wx649H/MP000000010309136_437Wx649H_202108162125491.jpeg
98,98,//img.tatacliq.com/images/i8/437Wx649H/MP000000014780964_437Wx649H_202212021353441.jpeg
99,99,//img.tatacliq.com/images/i8/437Wx649H/MP000000014781007_437Wx649H_202212021353461.jpeg
100,100,//img.tatacliq.com/images/i8/437Wx649H/MP000000014780985_437Wx649H_202212021351441.jpeg
