Id,brand,description,mrp,card,discprice
149,Puma,Puma Grey Regular Fit Sweatshirt,3569,17,2962
150,Van Heusen,Van Heusen Grey Slim Fit SweatShirt,799,50,399
151,Van Heusen,Van Heusen Black Slim Fit Sweatshirt,1149,50,574
152,Van Heusen,Van Heusen Orange Slim Fit Sweatshirt,799,50,399
153,Van Heusen,Van Heusen Navy Slim Fit SweatShirt,649,50,324
154,Van Heusen,Van Heusen Maroon Slim Fit Sweatshirt,799,50,399
155,Van Heusen,Van Heusen Blue Slim Fit SweatShirt,649,50,324
156,Crimsoune Club,Crimsoune Club Purple Slim Fit Sweatshirt,799,60,319
157,Puma,Puma Maroon Slim Fit Sweatshirt,2379,32,1617
158,Van Heusen,Van Heusen Maroon Regular Fit Hooded Sweartshirt,999,50,499
159,Van Heusen,Van Heusen Grey Regular Fit Self Pattern Hooded Sweartshirt,999,50,499
160,Basics,Basics Black Slim Fit Striped Sweatshirt,1439,40,863
161,Basics,Basics Navy Slim Fit Sweatshirt,1379,40,827
162,Van Heusen,Van Heusen Grey Regular Fit Printed Hooded Sweartshirt,1264,45,695
163,Cultsport,Cultsport Jet Black Layr Regular Fit Hoodie,1999,38,1239
164,Cultsport,Cultsport Jet Black Layr Full Sleeves Hoodie,1795,38,1112
165,Peter England,Peter England Green Slim Fit Printed SweatShirt,1259,30,881
166,Peter England,Peter England Maroon Regular Fit Hooded SweatShirt,1609,30,1126
167,Van Heusen,Van Heusen Sport Beige Regular Fit Self Pattern SweatShirt,1499,25,1124
168,Cultsport,Cultsport Yellow Layr Printed Hoodie,1755,35,1140
169,Van Heusen,Van Heusen Sport Maroon Regular Fit Hooded SweatShirt,999,50,499
170,Van Heusen,Van Heusen Sport White Regular Fit Hooded SweatShirt,999,50,499
171,Van Heusen,Van Heusen Blue Slim Fit Printed SweatShirt,1299,50,649
172,Woodland,Woodland Light Grey Full Sleeves Hoodie,2577,40,1546
173,Woodland,Woodland Navy Regular Fit Printed Hoodie,2577,40,1546
174,Allen Solly,Allen Solly Navy Regular Fit Colour Block SweatShirt,1028,51,503
175,Van Heusen,Van Heusen Sport Grey  Regular Fit SweatShirt,1259,30,881
176,Van Heusen,Van Heusen Yellow Slim Fit Printed Hooded SweatShirt,949,50,474
177,OFF LIMITS,OFF LIMITS Grey Solid Full Sleeves Sweatshirt,699,22,545
178,Crimsoune Club,Crimsoune Club Green Regular Fit Hooded Sweatshirt,849,50,424
179,Van Heusen,Van Heusen Blue Slim Fit Hooded SweatShirt,949,50,474
180,Van Heusen,Van Heusen Black Slim Fit Printed SweatShirt,799,50,399
